customer_id,age,tenure_months,contract_type,internet_service,tech_support,online_security,streaming_service,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,satisfaction_score,avg_monthly_usage_gb,churn
CUST-000001,50,15,Month-to-month,Fiber optic,No,No,Yes,Yes,Credit card,74.28,1116.54,1,5,412.3,Yes
CUST-000002,29,61,Two year,DSL,Yes,No,No,Yes,Bank transfer,50.76,3074.67,1,3,146.0,No
CUST-000003,56,22,Month-to-month,Fiber optic,No,No,No,Yes,Bank transfer,69.69,1524.44,1,3,292.6,Yes
CUST-000004,59,39,Two year,DSL,No,Yes,No,Yes,Bank transfer,43.56,1705.99,0,5,76.0,No
CUST-000005,18,72,Two year,DSL,Yes,No,No,Yes,Credit card,53.93,3899.64,1,3,172.1,No
CUST-000006,25,52,Month-to-month,Fiber optic,No,No,Yes,No,Bank transfer,72.9,3819.59,0,3,384.2,No
CUST-000007,47,66,Month-to-month,DSL,No,No,Yes,Yes,Electronic check,46.95,3089.56,3,3,148.5,No
CUST-000008,40,12,Month-to-month,DSL,No,No,No,Yes,Credit card,44.59,536.66,1,5,237.1,Yes
CUST-000009,45,4,Two year,Fiber optic,Yes,No,No,No,Bank transfer,67.23,255.71,0,4,398.3,No
CUST-000010,32,10,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Bank transfer,72.33,745.18,0,4,118.0,No
CUST-000011,58,2,Two year,Fiber optic,No,Yes,No,Yes,Electronic check,83.98,161.73,1,4,309.4,Yes
CUST-000012,57,3,Month-to-month,DSL,No,No,No,Yes,Electronic check,47.71,131.37,0,3,86.1,No
CUST-000013,46,0,Month-to-month,DSL,No,No,No,Yes,Credit card,47.83,49.07,0,3,146.4,No
CUST-000014,62,0,One year,DSL,No,Yes,No,Yes,Electronic check,50.73,17.27,0,2,98.9,No
CUST-000015,52,51,Month-to-month,Fiber optic,No,No,Yes,Yes,Mailed check,71.03,3633.35,0,3,311.4,No
CUST-000016,32,72,Month-to-month,Fiber optic,Yes,No,No,Yes,Mailed check,72.17,5190.04,1,4,323.0,No
CUST-000017,51,25,Two year,Fiber optic,No,Yes,Yes,Yes,Electronic check,81.22,2085.85,2,3,308.3,No
CUST-000018,31,19,Month-to-month,Fiber optic,No,Yes,Yes,No,Bank transfer,73.38,1381.86,0,4,303.2,No
CUST-000019,58,15,Two year,Fiber optic,No,Yes,No,Yes,Electronic check,79.96,1194.05,0,4,318.9,No
CUST-000020,44,72,Two year,Fiber optic,Yes,No,Yes,Yes,Electronic check,84.55,6107.94,1,4,460.7,No
CUST-000021,42,9,Month-to-month,DSL,No,Yes,No,Yes,Credit card,46.84,437.2,3,3,188.0,No
CUST-000022,35,33,Month-to-month,DSL,No,Yes,No,Yes,Bank transfer,51.62,1724.18,1,2,180.7,Yes
CUST-000023,63,6,Month-to-month,Fiber optic,No,No,No,Yes,Credit card,58.11,343.07,0,2,280.2,Yes
CUST-000024,43,6,One year,DSL,Yes,No,No,Yes,Mailed check,48.31,266.92,0,4,233.8,No
CUST-000025,39,27,Two year,Fiber optic,No,No,No,Yes,Credit card,72.68,2015.72,0,2,295.8,No
CUST-000026,40,32,Two year,Fiber optic,Yes,No,Yes,No,Electronic check,82.4,2647.13,0,4,366.2,No
CUST-000027,53,3,Two year,No internet service,Yes,No,No,No,Electronic check,27.91,88.24,0,4,7.7,No
CUST-000028,50,24,Month-to-month,DSL,No,No,No,Yes,Electronic check,45.52,1108.6,0,3,164.8,Yes
CUST-000029,51,22,Month-to-month,Fiber optic,No,No,No,No,Electronic check,64.13,1384.8,0,3,434.8,Yes
CUST-000030,51,5,Month-to-month,Fiber optic,No,No,No,Yes,Credit card,62.31,302.42,0,4,356.2,No
CUST-000031,77,56,Two year,DSL,Yes,No,No,No,Mailed check,64.35,3582.74,2,2,204.4,No
CUST-000032,39,15,Month-to-month,Fiber optic,Yes,Yes,No,No,Bank transfer,75.29,1132.69,2,3,260.5,Yes
CUST-000033,37,9,Month-to-month,No internet service,Yes,No,No,No,Mailed check,23.53,184.21,0,3,4.6,No
CUST-000034,33,9,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Electronic check,87.45,800.53,0,3,355.8,No
CUST-000035,54,9,Month-to-month,Fiber optic,No,Yes,No,No,Credit card,64.58,604.89,0,2,300.6,Yes
CUST-000036,62,1,Month-to-month,DSL,Yes,Yes,No,Yes,Bank transfer,64.11,87.04,0,3,181.0,No
CUST-000037,43,31,Month-to-month,DSL,Yes,No,No,No,Electronic check,51.99,1620.5,1,3,140.3,Yes
CUST-000038,32,65,Two year,DSL,No,No,No,Yes,Mailed check,45.65,2971.09,1,4,88.4,No
CUST-000039,33,47,One year,No internet service,Yes,Yes,No,Yes,Electronic check,35.48,1659.2,1,3,6.0,No
CUST-000040,55,10,Month-to-month,No internet service,No,No,No,Yes,Bank transfer,18.3,191.97,1,3,8.4,Yes
CUST-000041,56,28,One year,Fiber optic,No,Yes,Yes,Yes,Mailed check,87.58,2450.04,0,4,190.9,No
CUST-000042,53,9,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Credit card,88.25,756.86,0,4,274.1,Yes
CUST-000043,35,4,One year,Fiber optic,No,No,Yes,Yes,Credit card,79.58,305.99,2,2,304.4,No
CUST-000044,48,10,Month-to-month,DSL,No,No,No,Yes,Electronic check,37.43,390.15,0,3,121.0,No
CUST-000045,47,10,One year,DSL,No,No,No,Yes,Electronic check,43.26,410.09,1,1,199.4,No
CUST-000046,48,4,Month-to-month,Fiber optic,Yes,No,No,Yes,Credit card,72.44,266.85,1,2,379.9,Yes
CUST-000047,58,11,Month-to-month,No internet service,Yes,No,No,Yes,Mailed check,36.69,399.6,1,5,4.1,No
CUST-000048,48,13,One year,Fiber optic,No,No,No,No,Mailed check,57.93,709.71,1,2,371.2,No
CUST-000049,55,6,One year,No internet service,Yes,No,No,Yes,Bank transfer,24.81,163.45,1,4,3.8,No
CUST-000050,46,1,One year,No internet service,Yes,Yes,Yes,No,Mailed check,51.41,64.23,1,4,4.0,No
CUST-000051,49,6,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Bank transfer,86.31,536.8,3,3,643.7,Yes
CUST-000052,54,45,Month-to-month,Fiber optic,Yes,No,No,Yes,Credit card,69.71,3141.37,1,3,333.7,Yes
CUST-000053,23,18,One year,Fiber optic,Yes,Yes,No,Yes,Bank transfer,87.37,1555.6,0,5,399.2,No
CUST-000054,40,8,Month-to-month,No internet service,No,No,Yes,Yes,Electronic check,33.83,246.04,1,4,1.5,No
CUST-000055,38,7,Month-to-month,Fiber optic,No,Yes,Yes,No,Electronic check,87.29,622.05,1,5,386.1,Yes
CUST-000056,35,22,Month-to-month,No internet service,No,Yes,No,Yes,Credit card,29.61,665.73,1,1,6.8,No
CUST-000057,41,4,Month-to-month,DSL,Yes,Yes,Yes,Yes,Bank transfer,71.59,264.02,1,4,87.8,No
CUST-000058,67,5,Month-to-month,DSL,Yes,Yes,Yes,No,Bank transfer,71.46,332.29,1,1,132.0,No
CUST-000059,32,39,Month-to-month,No internet service,No,Yes,Yes,No,Electronic check,42.43,1654.39,0,3,4.5,No
CUST-000060,60,13,One year,DSL,No,No,Yes,No,Credit card,52.77,688.74,0,3,55.8,No
CUST-000061,20,4,One year,DSL,No,Yes,No,Yes,Mailed check,59.67,257.38,1,2,74.9,No
CUST-000062,40,1,One year,Fiber optic,Yes,No,No,No,Credit card,70.33,83.58,1,3,286.0,Yes
CUST-000063,47,72,One year,Fiber optic,Yes,No,Yes,Yes,Electronic check,90.12,6487.04,1,3,217.4,No
CUST-000064,54,0,Month-to-month,Fiber optic,No,No,No,Yes,Electronic check,67.53,88.24,1,4,328.5,Yes
CUST-000065,56,16,Two year,Fiber optic,Yes,No,No,No,Electronic check,70.26,1117.17,1,2,342.4,Yes
CUST-000066,57,22,One year,DSL,Yes,Yes,Yes,No,Mailed check,73.42,1609.07,0,3,151.5,No
CUST-000067,40,17,Month-to-month,Fiber optic,Yes,Yes,No,No,Credit card,79.64,1370.85,0,4,373.9,No
CUST-000068,38,10,Month-to-month,DSL,Yes,No,Yes,Yes,Mailed check,56.17,580.85,1,4,106.6,No
CUST-000069,58,41,One year,Fiber optic,No,No,No,No,Credit card,64.57,2667.04,1,5,136.5,No
CUST-000070,42,45,One year,DSL,No,Yes,No,Yes,Credit card,44.76,2010.61,1,3,104.5,No
CUST-000071,26,11,One year,No internet service,No,No,Yes,No,Electronic check,34.54,381.37,1,4,4.8,Yes
CUST-000072,28,15,One year,DSL,No,Yes,No,No,Bank transfer,50.29,737.02,1,3,183.7,No
CUST-000073,31,15,Two year,No internet service,No,Yes,Yes,Yes,Credit card,42.39,653.85,0,5,4.4,No
CUST-000074,52,23,Two year,Fiber optic,No,Yes,Yes,Yes,Bank transfer,79.52,1817.13,2,2,350.4,Yes
CUST-000075,47,5,One year,Fiber optic,No,No,Yes,No,Electronic check,70.52,312.67,4,3,280.8,No
CUST-000076,55,1,Two year,DSL,No,No,No,Yes,Credit card,39.62,30.8,0,4,222.4,No
CUST-000077,39,11,Two year,Fiber optic,No,No,No,No,Bank transfer,75.1,808.98,1,4,447.3,No
CUST-000078,47,2,Month-to-month,DSL,Yes,Yes,No,No,Credit card,74.15,94.16,0,4,128.1,No
CUST-000079,54,13,One year,No internet service,No,Yes,No,No,Bank transfer,36.01,456.66,2,3,5.5,No
CUST-000080,40,33,Month-to-month,Fiber optic,No,Yes,No,Yes,Mailed check,63.3,2104.55,1,4,273.3,Yes
CUST-000081,52,13,Month-to-month,No internet service,No,No,Yes,No,Mailed check,25.12,334.83,1,2,3.5,No
CUST-000082,35,16,Month-to-month,Fiber optic,No,No,No,No,Credit card,59.67,962.96,1,4,459.5,No
CUST-000083,40,19,Month-to-month,DSL,No,No,Yes,Yes,Credit card,60.87,1185.04,2,1,178.7,No
CUST-000084,39,28,Month-to-month,Fiber optic,No,Yes,No,Yes,Mailed check,81.54,2271.54,0,3,293.5,No
CUST-000085,27,17,Month-to-month,DSL,Yes,Yes,Yes,No,Electronic check,75.52,1260.93,0,5,110.0,No
CUST-000086,52,11,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Electronic check,83.95,933.33,0,4,308.4,Yes
CUST-000087,38,11,One year,No internet service,Yes,No,No,Yes,Electronic check,23.38,264.32,1,3,1.6,No
CUST-000088,45,4,Two year,No internet service,No,No,Yes,Yes,Mailed check,30.57,96.96,0,4,8.0,No
CUST-000089,52,11,Two year,DSL,No,No,No,Yes,Mailed check,45.44,496.32,4,3,122.3,No
CUST-000090,52,29,Month-to-month,DSL,No,No,Yes,Yes,Electronic check,61.41,1791.66,1,2,149.0,No
CUST-000091,55,10,Month-to-month,DSL,No,No,No,Yes,Mailed check,42.5,430.5,0,1,160.3,No
CUST-000092,44,9,Two year,DSL,Yes,No,No,Yes,Credit card,55.01,509.73,1,3,152.3,No
CUST-000093,39,16,Month-to-month,DSL,No,No,No,No,Electronic check,46.38,728.64,1,3,188.1,No
CUST-000094,44,4,Two year,DSL,Yes,No,No,Yes,Bank transfer,53.5,185.63,0,3,70.2,No
CUST-000095,20,2,One year,No internet service,Yes,Yes,No,Yes,Electronic check,32.02,45.77,1,4,7.0,No
CUST-000096,23,26,Month-to-month,DSL,No,No,Yes,Yes,Bank transfer,57.6,1514.89,0,5,194.4,No
CUST-000097,25,7,Month-to-month,Fiber optic,No,No,Yes,Yes,Credit card,76.52,556.35,0,4,583.3,No
CUST-000098,30,6,Month-to-month,No internet service,Yes,Yes,Yes,No,Electronic check,42.09,249.19,2,3,1.9,No
